Token(type='READ', value='READ', lineno=2, index=49
Token(type='LPAREN', value='(', lineno=2, index=53
Token(type='INT', value=5, lineno=2, index=54
Token(type=',', value=',', lineno=2, index=55
Token(type='INT', value=100, lineno=2, index=56
Token(type='RPAREN', value=')', lineno=2, index=59
Token(type='ID', value='N', lineno=2, index=61
Token(type='INT', value=100, lineno=3, index=66
Token(type='FORMAT', value='FORMAT', lineno=3, index=70
Token(type='LPAREN', value='(', lineno=3, index=76
Token(type='ID', value='I5', lineno=3, index=77
Token(type='RPAREN', value=')', lineno=3, index=79
Token(type='ID', value='NFAC', lineno=4, index=88
Token(type='ASSIGN', value='=', lineno=4, index=92
Token(type='INT', value=1, lineno=4, index=93
Token(type='INT', value=500, lineno=5, index=98
Token(type='CONTINUE', value='CONTINUE', lineno=5, index=102
Token(type='IF', value='IF', lineno=6, index=118
Token(type='LPAREN', value='(', lineno=6, index=121
Token(type='ID', value='N', lineno=6, index=122
Token(type='RPAREN', value=')', lineno=6, index=123
Token(type='INT', value=1000, lineno=6, index=125
Token(type=',', value=',', lineno=6, index=129
Token(type='INT', value=1000, lineno=6, index=131
Token(type=',', value=',', lineno=6, index=135
Token(type='INT', value=600, lineno=6, index=137
Token(type='INT', value=600, lineno=7, index=144
Token(type='CONTINUE', value='CONTINUE', lineno=7, index=148
Token(type='ID', value='NFAC', lineno=8, index=164
Token(type='ASSIGN', value='=', lineno=8, index=168
Token(type='ID', value='NFAC', lineno=8, index=169
Token(type='TIMES', value='*', lineno=8, index=173
Token(type='ID', value='N', lineno=8, index=174
Token(type='ID', value='N', lineno=9, index=183
Token(type='ASSIGN', value='=', lineno=9, index=184
Token(type='ID', value='N', lineno=9, index=185
Token(type='MINUS', value='-', lineno=9, index=186
Token(type='INT', value=1, lineno=9, index=187
Token(type='ID', value='GO', lineno=10, index=196
Token(type='ID', value='TO', lineno=10, index=199
Token(type='INT', value=500, lineno=10, index=202
Token(type='INT', value=1000, lineno=11, index=208
Token(type='WRITE', value='WRITE', lineno=11, index=213
Token(type='LPAREN', value='(', lineno=11, index=218
Token(type='INT', value=6, lineno=11, index=219
Token(type=',', value=',', lineno=11, index=220
Token(type='INT', value=110, lineno=11, index=221
Token(type='RPAREN', value=')', lineno=11, index=224
Token(type='ID', value='NFAC', lineno=11, index=226
Token(type='INT', value=110, lineno=12, index=234
Token(type='FORMAT', value='FORMAT', lineno=12, index=238
Token(type='LPAREN', value='(', lineno=12, index=244
Token(type='ID', value='I10', lineno=12, index=245
Token(type='RPAREN', value=')', lineno=12, index=248
Token(type='STOP', value='STOP', lineno=13, index=257
Token(type='END', value='END', lineno=14, index=269
